"","id","elevation","slope","TPI","flowdir","x","y"
"60",66,32.0085601806641,2.33584585963684,0.0176544189453125,64,4337364.109,3473998.569
"61",67,23.581958770752,2.03409643339546,-0.115816831588745,8,4338217.9,3464461.223
"62",69,38.5087509155273,2.57351358884527,0.0898222923278809,128,4333541.21,3462470.054
"63",71,10.4226541519165,0.813146430262639,0.0430705547332764,1,4323350.95,3473809.583
"64",72,64.6041030883789,2.71130854926468,0.178001403808594,1,4333054.596,3460305.564
"65",73,21.13503074646,1.89076729456123,-0.0376317501068115,1,4338622.872,3474239.962
"66",74,21.5534191131592,0.875083175660175,0.0549054145812988,16,4326419.924,3469222.004
"67",75,20.5525341033936,1.16860134575169,0.0723636150360107,2,4328673.227,3474407.381
"68",76,5.64215564727783,0.830527011459769,0.0358655452728271,32,4335856.711,3466571.237
"69",77,29.1177711486816,2.6740638226708,0.114560127258301,2,4336861.308,3468919.341
"70",78,5.33533525466919,0.554613146409576,0.254864513874054,32,4335208.773,3467343.815
"71",79,38.0816841125488,1.08313652720701,0.308625221252441,8,4336750.296,3463888.852
"72",80,44.2408981323242,0.994351873089256,0.132210254669189,4,4325643.762,3468356.884
"73",81,22.7174205780029,2.11604165574389,-0.176514625549316,4,4328980.325,3471537.158
"74",82,13.4360389709473,1.74500185537277,0.247927308082581,2,4323656.534,3472888.84
"75",83,19.4990787506104,0.868755758697465,-0.0912849903106689,16,4323034.118,3462130.418
"76",84,38.4590606689453,3.60570888812174,-0.146256923675537,16,4335434.073,3464413.136
"77",85,48.5603981018066,6.1307340569817,0.246243953704834,128,4334980.509,3463615.671
"78",86,52.8994178771973,1.43949768210508,-0.0417051315307617,8,4334666.793,3463203.897
"79",87,12.1862459182739,0.760266012131642,-0.0888588428497314,4,4323469.244,3474903.317
"80",88,13.0423517227173,0.971363943582131,-0.178427934646606,64,4335136.424,3472879.437
"81",89,15.3808536529541,0.839409664557757,-0.0936740636825562,1,4327381.44,3466348.96
"82",90,42.7451858520508,2.06034701833033,-0.00108671188354492,32,4331500.913,3465078.119
"83",91,5.97018957138062,1.00580211784414,-0.0963245630264282,4,4325885.739,3475395.004
"84",92,54.138256072998,8.31097803589785,-0.288357734680176,16,4334645.914,3463399.144
"85",93,17.7302284240723,1.87459826026411,-0.0421926975250244,32,4328374.254,3475537.974
"86",94,19.7593460083008,3.14052848423939,-0.416143655776978,64,4326252.135,3468057.312
"87",96,62.7612495422363,3.62077473017724,-0.11024808883667,4,4334708.866,3461191.966
"88",97,62.1492691040039,3.05841754910396,0.246845245361328,1,4334482.515,3460679.04
"89",98,25.1260299682617,0.495369560451342,-0.0198392868041992,16,4323137.074,3470723.356
